,title,room,area,floor,renovation,material,price,address,lift,security,internet,playground,sewerage,bathroom,video_monitor,parking_space,air_condition,furniture
35,3-rooms apartment for sale,,,,,,47 999 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Абад, улица Зарбулак",0,0,0,0,0,0,0,0,0,0
36,2-rooms apartment for sale,,,,,,89 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Кашгар, улица Буюк Турон",0,0,0,0,0,0,0,0,0,0
37,4-rooms apartment for sale,,,,,,145 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мовароуннахр, улица Саида Барака",0,0,1,0,0,1,1,1,1,1
38,1-rooms apartment for sale,,,,,,30 500 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Нафосат",0,0,0,0,0,0,0,0,0,0
39,3-rooms apartment for sale,,,,,,77 000 usd,"Tashkent city, district Uchtepa, 26-й квартал",0,0,0,1,0,1,0,1,0,0
40,3-rooms apartment for sale,,,,,,83 000 usd,"Tashkent city, Алмазарский район, массив Чимбай",0,0,1,1,1,1,1,1,0,1
41,3-rooms apartment for sale,,,,,,110 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Чиланзар, улица Мукими",0,0,0,1,1,0,1,1,1,1
42,2-rooms apartment for sale,,,,,,74 000 usd,"Tashkent city, district Chilanzar, 2-й квартал",0,0,0,0,0,0,0,0,0,0
43,2-rooms apartment for sale,,,,,,61 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Истиклол",0,0,0,0,0,0,0,0,0,0
44,3-rooms apartment for sale,,,,,,100 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Дилабад",0,0,0,0,0,0,0,0,0,0
45,4-rooms apartment for sale,,,,,,145 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мовароуннахр, улица Саида Барака",0,0,1,0,0,1,1,1,1,1
46,2-rooms apartment for sale,,,,,,65 800 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Янги Хаёт, 7-y proezd Kulolkurgon",0,0,0,0,0,0,0,0,0,0
47,1-rooms apartment for sale,,,,,,30 500 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Нафосат",0,0,0,1,1,0,0,0,0,0
48,1-rooms apartment for sale,,,,,,45 000 usd,"Tashkent city, district Yakkasaray, махаллинский сход граждан Башлык",0,0,1,0,1,1,1,1,1,1
49,1-rooms apartment for sale,,,,,,36 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0
50,2-rooms apartment for sale,,,,,,61 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Истиклол",0,0,0,0,0,0,0,0,0,0
51,3-rooms apartment for sale,,,,,,75 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Юнус Ата",1,0,1,1,0,1,0,0,0,0
52,2-rooms apartment for sale,,,,,,96 000 usd,"Tashkent city, district Mirza Ulugbek, махаллинский сход граждан Дархан, улица Аккурган",0,0,1,0,1,0,0,1,1,1
53,3-rooms apartment for sale,,,,,,70 000 usd,"Tashkent city, Yangihayotskiy rayon, 16-й квартал",1,0,1,1,1,1,1,1,0,1
54,3-rooms apartment for sale,,,,,,85 000 usd,"Tashkent city, district Chilanzar, массив Наккашлык, 4-y proezd Dombrabad",0,0,0,0,0,0,0,0,0,0
55,1-rooms apartment for sale,,,,,,44 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Дилабад",0,0,0,0,0,0,0,0,0,0
56,1-rooms apartment for sale,,,,,,42 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",1,1,0,1,1,0,1,0,0,0
57,2-rooms apartment for sale,,,,,,90 000 usd,"Tashkent city, district Mirza Ulugbek, махаллинский сход граждан Подшобог, улица Буюк Ипак Йули",1,1,1,1,1,1,1,1,1,1
58,1-rooms apartment for sale,,,,,,42 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",1,1,0,1,1,0,1,0,0,0
59,2-rooms apartment for sale,,,,,,65 000 usd,"Tashkent city, district Mirza Ulugbek, массив Феруза-2, улица Феруза",0,0,1,1,1,0,0,1,1,1
60,2-rooms apartment for sale,,,,,,66 500 usd,"Tashkent city, district Yunusabad, 7-й квартал",0,0,0,0,0,0,0,0,0,0
61,2-rooms apartment for sale,,,,,,41 250 usd,"Tashkent city, district Uchtepa, махаллинский сход граждан Найман",0,0,1,1,1,1,0,1,0,1
62,1-rooms apartment for sale,,,,,,36 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0
63,3-rooms apartment for sale,,,,,,62 000 usd,"Tashkent city, district Uchtepa, махаллинский сход граждан Кухна-Чапаната",0,0,0,0,0,0,0,0,0,0
64,1-rooms apartment for sale,,,,,,31 500 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Абдурауф Фитрат, улица Учувчилар",0,0,0,0,0,0,0,0,0,0
65,3-rooms apartment for sale,,,,,,120 000 usd,"Tashkent city, district Yakkasaray, махаллинский сход граждан Дилбулак, улица Шота Руставели",0,0,0,0,0,0,0,0,0,0
66,2-rooms apartment for sale,,,,,,80 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Катта Олмазор",0,0,0,0,0,0,0,0,0,0
67,3-rooms apartment for sale,,,,,,165 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Семург, улица Паркент",0,0,0,0,0,0,0,0,0,0
68,4-rooms apartment for sale,,,,,,145 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мовароуннахр, улица Саида Барака",0,0,1,0,0,1,1,1,1,1
69,3-rooms apartment for sale,,,,,,85 000 usd,"Tashkent city, district Yunusabad, 2-й квартал",0,0,0,0,0,0,0,0,0,0
70,3-rooms apartment for sale,,,,,,110 000 usd,"Tashkent city, district Yakkasaray, махаллинский сход граждан Дилбулак, улица Шота Руставели",0,0,0,0,0,0,0,0,0,0
71,2-rooms apartment for sale,,,,,,110 000 usd,"Tashkent city, district Yakkasaray, массив Кушбеги",0,0,0,0,0,0,0,0,0,0
72,3-rooms apartment for sale,,,,,,125 000 usd,"Tashkent city, Алмазарский район, махаллинский сход граждан Майарык, улица Нихол",0,0,1,1,1,0,1,1,1,1
73,3-rooms apartment for sale,,,,,,77 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Адолат",0,0,0,0,0,0,0,0,0,0
74,2-rooms apartment for sale,,,,,,46 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0
75,2-rooms apartment for sale,,,,,,61 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Истиклол",0,0,0,0,0,0,0,0,0,0
76,3-rooms apartment for sale,,,,,,77 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Адолат",0,0,0,0,0,0,0,0,0,0
77,3-rooms apartment for sale,,,,,,96 000 usd,"Tashkent city, district Chilanzar, 1-й квартал, улица Лабихавуз",0,0,0,0,0,0,0,0,0,0
78,4-rooms apartment for sale,,,,,,175 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Шараф Рашидов, улица Чимкент",0,0,0,0,0,0,0,0,0,0
79,3-rooms apartment for sale,,,,,,145 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Буюк Туран, проспект Амира Темура",0,0,0,0,0,0,0,0,0,0
80,2-rooms apartment for sale,,,,,,55 500 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Ахилобод, улица Ниязбек",0,0,0,0,0,0,0,0,0,0
81,3-rooms apartment for sale,,,,,,89 999 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Байкурган, улица Насаф",0,0,1,1,1,0,0,1,1,1
82,3-rooms apartment for sale,,,,,,96 000 usd,"Tashkent city, district Chilanzar, 1-й квартал, улица Лабихавуз",0,0,0,0,0,0,0,0,0,0
83,1-rooms apartment for sale,,,,,,44 500 usd,"Tashkent city, district Yunusabad, 6-й квартал",0,0,0,0,0,0,0,0,0,0
84,2-rooms apartment for sale,,,,,,50 500 usd,"Tashkent city, district Uchtepa, 26-й квартал",0,0,0,1,1,1,0,0,0,0
85,4-rooms apartment for sale,,,,,,215 000 usd,"Tashkent city, district Yunusabad, массив Кашгар",1,1,1,1,1,1,1,1,1,1
86,3-rooms apartment for sale,,,,,,96 000 usd,"Tashkent city, district Chilanzar, 1-й квартал, улица Лабихавуз",0,0,0,1,1,1,0,0,1,0
87,4-rooms apartment for sale,,,,,,145 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мовароуннахр, улица Саида Барака",0,0,1,0,0,1,1,1,1,1
88,3-rooms apartment for sale,,,,,,77 999 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Кичик Хирмантепа",0,0,1,1,1,1,0,1,1,1
89,2-rooms apartment for sale,,,,,,59 555 usd,"Tashkent city, district Uchtepa, жилой комплекс Фарход",0,0,1,1,1,1,0,1,1,1
90,2-rooms apartment for sale,,,,,,63 555 usd,"Tashkent city, district Uchtepa, махаллинский сход граждан Ватан",1,0,1,1,1,1,0,1,0,0
91,2-rooms apartment for sale,,,,,,62 999 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Нафосат",0,0,1,1,1,1,0,1,0,0
92,2-rooms apartment for sale,,,,,,49 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Яккатут",0,0,1,1,1,1,0,1,1,1
93,2-rooms apartment for sale,,,,,,80 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Айбек, улица Саида Барака",1,0,1,1,1,1,0,1,1,1
94,2-rooms apartment for sale,,,,,,73 555 usd,"Tashkent city, district Chilanzar, 1-й квартал, улица Лабихавуз",0,0,1,1,1,1,0,1,1,1
95,2-rooms apartment for sale,,,,,,59 000 usd,"Tashkent city, district Chilanzar, 2-й квартал",0,0,1,1,1,1,0,1,1,1
96,2-rooms apartment for sale,,,,,,69 500 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Нафосат",0,0,1,1,1,1,0,1,1,1
97,2-rooms apartment for sale,,,,,,66 500 usd,"Tashkent city, district Uchtepa, махаллинский сход граждан Кургантепа",0,0,1,1,1,1,0,1,1,1
98,3-rooms apartment for sale,,,,,,67 750 usd,"Tashkent city, district Uchtepa, махаллинский сход граждан Кургантепа",0,0,1,1,1,1,0,1,0,0
99,1-rooms apartment for sale,,,,,,36 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0
100,2-rooms apartment for sale,,,,,,80 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Айбек, улица Саида Барака",1,0,1,1,1,1,0,1,1,1
101,2-rooms apartment for sale,,,,,,225 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мингурик, улица Тараса Шевченко",0,1,1,1,1,0,1,1,1,1
102,2-rooms apartment for sale,,,,,,57 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Мингчинар",0,0,0,0,0,0,0,0,0,0
103,1-rooms apartment for sale,,,,,,46 500 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Уч Кахрамон",0,0,0,0,0,0,0,0,0,0
104,3-rooms apartment for sale,,,,,,64 000 usd,"Tashkent city, district Yunusabad, 17-й квартал",0,0,0,0,0,0,0,0,0,0
105,2-rooms apartment for sale,,,,,,59 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Тирсакабад, улица Шош",0,0,0,0,0,0,0,0,0,0
106,2-rooms apartment for sale,,,,,,46 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0
107,3-rooms apartment for sale,,,,,,78 000 usd,"Tashkent city, district Mirza Ulugbek, махаллинский сход граждан Олий Химмат, улица Зиёлилар",0,0,0,0,0,0,0,0,0,0
108,2-rooms apartment for sale,,,,,,87 500 usd,"Tashkent city, district Mirza Ulugbek, массив Буз-1, proezd Kalandar",0,0,0,0,0,0,0,0,0,0
109,3-rooms apartment for sale,,,,,,135 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Яккатут",0,0,0,0,0,0,0,0,0,0
110,1-rooms apartment for sale,,,,,,54 500 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Мехржон",0,0,0,0,0,0,0,0,0,0
111,3-rooms apartment for sale,,,,,,315 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Айбек, улица Фидокор",0,0,0,0,0,0,0,0,0,0
112,4-rooms apartment for sale,,,,,,145 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мовароуннахр, улица Саида Барака",0,0,1,0,0,1,1,1,1,1
113,2-rooms apartment for sale,,,,,,85 000 usd,"Tashkent city, district Yakkasaray, махаллинский сход граждан Дилбулак, улица Кушбеги",0,0,0,0,0,0,0,0,0,0
114,4-rooms apartment for sale,,,,,,136 800 usd,"Tashkent city, district Mirza Ulugbek, махаллинский сход граждан Олтинтепа, улица Турт Арык",0,0,0,0,0,0,0,0,0,0
115,4-rooms apartment for sale,,,,,,250 000 usd,"Tashkent city, district Yakkasaray, махаллинский сход граждан Дамарык, улица Кичик Бешагач",0,0,0,0,0,0,0,0,0,0
116,3-rooms apartment for sale,,,,,,96 000 usd,"Tashkent city, district Mirza Ulugbek, махаллинский сход граждан Хамид Олимжон, prospekt Mustakillik",1,0,1,1,1,1,0,0,0,0
117,3-rooms apartment for sale,,,,,,300 000 usd,"Tashkent city, district Mirabad, махаллинский сход граждан Мингурик, улица Тараса Шевченко",0,0,0,0,0,0,0,0,0,0
118,3-rooms apartment for sale,,,,,,64 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Бек-Тупи, улица Сугалли-ота",1,1,1,1,1,1,1,0,1,1
119,3-rooms apartment for sale,,,,,,89 999 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Байкурган, улица Насаф",0,0,1,1,1,0,0,1,1,1
120,2-rooms apartment for sale,,,,,,55 000 usd,"Tashkent city, district Yunusabad, махаллинский сход граждан Богиэрам",0,0,0,1,1,1,0,1,0,0
121,1-rooms apartment for sale,,,,,,44 500 usd,"Tashkent city, district Yunusabad, 6-й квартал",0,0,0,0,0,0,0,0,0,0
122,2-rooms apartment for sale,,,,,,63 000 usd,"Tashkent city, district Mirza Ulugbek, массив Феруза-2",0,0,1,0,1,0,0,0,1,1
123,4-rooms apartment for sale,,,,,,91 500 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Яшнобод, улица Корасув",1,0,1,1,0,1,0,0,0,0
124,2-rooms apartment for sale,,,,,,61 000 usd,"Tashkent city, district Yashnabad, махаллинский сход граждан Истиклол",0,0,0,0,0,0,0,0,0,0
125,3-rooms apartment for sale,,,,,,64 000 usd,"Tashkent city, district Chilanzar, махаллинский сход граждан Бек-Тупи, улица Сугалли-ота",1,1,1,1,1,1,1,0,1,1
126,2-rooms apartment for sale,,,,,,56 500 usd,"Tashkent city, district Sirgali, махаллинский сход граждан Мададкор",1,0,1,1,1,0,0,1,1,0
127,3-rooms apartment for sale,,,,,,90 000 usd,"Tashkent city, district Mirza Ulugbek, массив Феруза-1, улица Мирзо Улугбека",0,0,1,1,1,0,0,1,1,1
128,2-rooms apartment for sale,,,,,,65 000 usd,"Tashkent city, district Sirgali, махаллинский сход граждан Нилуфар",0,0,0,1,0,0,0,1,1,1
129,4-rooms apartment for sale,,,,,,38 000 usd,"Tashkent region, Нурафшан",0,0,0,0,0,0,0,0,0,0
